name,code,sectors,products
다원넥스뷰,323350,사진장비 및 광학기기 제조업,레이저 장비
다이오진,271850,자연과학 및 공학 연구개발업,"분자진단서비스, 분자진단Kit"
선바이오,067370,의약품 제조업,생체고분자유도체
시그넷이브이,260870,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전기차 충전기
에듀파트너,208890,교육지원 서비스업,방과후 교육
에스알바이오텍,270210,기타 화학제품 제조업,화장품 제조 및 유통
에프앤가이드,064850,금융 지원 서비스업,금융정보제공서비스(FnGuide.com)
엘리비젼,276240,영상 및 음향기기 제조업,"디지털 사이니지, 키오스크 등"
유투바이오,221800,기타 과학기술 서비스업,유전자 분석 서비스
이도바이오,336040,자연과학 및 공학 연구개발업,당뇨질환 세포치료제 / 당뇨관리 의료기기
인카금융서비스,211050,보험 및 연금관련 서비스업,보험판매
전우정밀,120780,자동차 신품 부품 제조업,차량 도어부품 등
지놈앤컴퍼니,314130,기초 의약물질 및 생물학적 제제 제조업,생체유익균 치료제/건강기능식품/화장품
진코스텍,250030,기타 화학제품 제조업,"마스크팩 ODM/OEM, 하이드로겔 마스크팩"
큐엠씨,136660,특수 목적용 기계 제조업,"반도체, LED, FPD 제조 및 검사 장비"
티티씨디펜스,309900,"그외 기타 전문, 과학 및 기술 서비스업","Anti-Drone, UGV, 방폭블록, 방검조끼 등"
파워풀엑스,266870,생활용품 도매업,플렉스파워 리커버리크림
폭스소프트,354230,소프트웨어 개발 및 공급업,"교육 정보화 사업(SI), Apple IT제품 유통(교육용)"
BGF리테일,282330,종합 소매업,체인화 편의점
CJ CGV,079160,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영"
CJ대한통운,000120,도로 화물 운송업,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting"
GKL,114090,유원지 및 기타 오락관련 서비스업,카지노
GS건설,006360,건물 건설업,"토목공사,건축공사,주택공사,산업플랜트공사,리모델링공사,시설물유지관리공사/산업설비설계,감리 용역,수출입/에너지관리 진단,연구개발"
HDC현대EP,089470,기타 화학제품 제조업,"합성수지(PP컴파운딩가공,자동차범퍼,내장제) 제조,도소매"
